id,title,category,subcategory,price,originalPrice,productType,parentSet,material,desc,image
22,Sahra TV Alt Blok Konsol,living,consoles,16500,19500,Solo,Sahra Modern TV & Duvar Ünitesi,1. SINIF DOĞAL CEVİZ KAPLAMA MDF & TEMPERLİ CAM,"Sahra TV alt sehpası ve çekmeceli konsol ünitesi (G: 220 cm, D: 45 cm, Y: 50 cm).",assets/minegolden_p19_2.webp
23,Sahra Asma Duvar Rafı & Üst Dolap,living,consoles,7400,8500,Solo,Sahra Modern TV & Duvar Ünitesi,1. SINIF DOĞAL CEVİZ KAPLAMA MDF & TEMPERLİ CAM,Sahra serisi dekoratif duvar rafı ve kitaplık modülü.,assets/minegolden_p19_3.webp
24,Salvador Lüks TV & Yaşam Ünitesi,living,consoles,24900,29500,Set,,LAKE BOYALI MDF & GOLD METAL PROFİL,"Salvador TV Ünitesi; antrasit lake boyalı gövdesi, gold metal şeritleri ve geniş televizyon yerleşimiyle modern salonların gözdesidir.",assets/minegolden_p20_1.webp
25,Salvador TV Alt Konsol,living,consoles,17000,20000,Solo,Salvador Lüks TV & Yaşam Ünitesi,LAKE BOYALI MDF & GOLD METAL PROFİL,"Salvador serisi TV alt sehpası (G: 210 cm, D: 53 cm, Y: 43 cm).",assets/minegolden_p20_2.webp
26,Salvador Asma Kitaplık & Dolap,living,consoles,7900,9500,Solo,Salvador Lüks TV & Yaşam Ünitesi,LAKE BOYALI MDF & GOLD METAL PROFİL,Salvador serisi duvara asılan dekoratif dolap modülü.,assets/minegolden_p20_3.webp
27,İcon Yuvarlak Masa Sandalye Takımı,dining,dining-tables,39900,46000,Set,,ÇİZİLMEZ MERMER DESENLİ YÜZEY & MASİF AHŞAP AYAKLAR,İcon Yuvarlak Yemek Odası Takımı; mermer desenli şık yuvarlak masası ve 4 adet ergonomik kumaş kaplamalı sandalyesiyle samimi ve zarif sofralar kurar.,assets/minegolden_p6_1.webp
28,İcon Yuvarlak Yemek Masası,dining,dining-tables,21000,24500,Solo,İcon Yuvarlak Masa Sandalye Takımı,ÇİZİLMEZ MERMER DESENLİ YÜZEY & MASİF AHŞAP AYAKLAR,"İcon serisine ait 120 cm çapında mermer desenli yuvarlak masa (Çap: 120 cm, Y: 76 cm).",assets/minegolden_p6_2.webp
29,İcon Ergonomik Sandalye (4 Adet),dining,chairs,18900,21500,Solo,İcon Yuvarlak Masa Sandalye Takımı,ÇİZİLMEZ MERMER DESENLİ YÜZEY & MASİF AHŞAP AYAKLAR,İcon serisi 4 adet kumaş döşemeli ergonomik yemek sandalyesi takımı.,assets/minegolden_p6_4.webp
30,İcon Meşe Ahşap Yemek Odası Takımı,dining,dining-tables,42500,49000,Set,,DOĞAL MEŞE KAPLAMA MDF & FIRINLANMIŞ GÜRGEN İSKELET,"İcon Meşe Yemek Odası Takımı; doğal meşe kaplama sabit masası ve 6 adet konforlu sandalyesiyle sıcak, doğal ve uzun ömürlü bir kullanım sunar.",assets/minegolden_p7_1.webp
31,İcon Meşe Yemek Masası,dining,dining-tables,22500,26000,Solo,İcon Meşe Ahşap Yemek Odası Takımı,DOĞAL MEŞE KAPLAMA MDF & FIRINLANMIŞ GÜRGEN İSKELET,"İcon serisi doğal meşe kaplamalı 6 kişilik yemek masası (G: 180 cm, D: 90 cm, Y: 76 cm).",assets/minegolden_p7_2.webp
32,İcon Meşe Sandalye (6 Adet),dining,chairs,20000,23000,Solo,İcon Meşe Ahşap Yemek Odası Takımı,DOĞAL MEŞE KAPLAMA MDF & FIRINLANMIŞ GÜRGEN İSKELET,İcon serisi ahşap ayaklı 6 adet konforlu sandalye seti.,assets/minegolden_p7_4.webp
33,Forte Meşe Modern Yemek Odası Takımı,dining,dining-tables,44900,51000,Set,,FIRINLANMIŞ MEŞE AĞACI & LEKE TUTMAZ DÖŞEME,"Forte Meşe Yemek Odası; dinamik çapraz ayak tasarımı, geniş tablası ve 6 adet özel döşeme sandalyesiyle modern yemek odalarının gözdesidir.",assets/minegolden_p8_1.webp
34,Forte Meşe Çapraz Ayak Masa,dining,dining-tables,23900,27500,Solo,Forte Meşe Modern Yemek Odası Takımı,FIRINLANMIŞ MEŞE AĞACI & LEKE TUTMAZ DÖŞEME,Forte serisi modern çapraz ayaklı 190 cm yemek masası.,assets/minegolden_p8_2.webp
35,Forte Kumaş Sandalye (6 Adet),dining,chairs,21000,23500,Solo,Forte Meşe Modern Yemek Odası Takımı,FIRINLANMIŞ MEŞE AĞACI & LEKE TUTMAZ DÖŞEME,Forte serisi 6 adet ergonomik kumaş döşemeli yemek sandalyesi.,assets/minegolden_p8_4.webp
36,Seramik Mutfak & Yemek Masası Takımı,dining,dining-tables,38900,45000,Set,,ÇİZİLMEZ & LEKE TUTMAZ PORSELEN SERAMİK TABLA,Seramik Yemek Takımı; ısıya ve çizilmeye dayanıklı porselen seramik tablası ve 4 adet modern sandalyesiyle hem mutfak hem yemek odası için idealdir.,assets/minegolden_p9_1.webp
37,Seramik Mutfak & Yemek Masası,dining,dining-tables,21000,24000,Solo,Seramik Mutfak & Yemek Masası Takımı,ÇİZİLMEZ & LEKE TUTMAZ PORSELEN SERAMİK TABLA,"Seramik serisine ait ısıya dayanıklı masa (G: 160 cm, D: 85 cm, Y: 75 cm).",assets/minegolden_p9_2.webp
38,Seramik Takım Sandalyesi (4 Adet),dining,chairs,17900,21000,Solo,Seramik Mutfak & Yemek Masası Takımı,ÇİZİLMEZ & LEKE TUTMAZ PORSELEN SERAMİK TABLA,Seramik serisi metal ayaklı 4 adet kolay silinebilir sandalye.,assets/minegolden_p9_4.webp
39,İpek Lüks Yemek Odası Takımı,dining,dining-tables,54900,62000,Set,,MDF LAKE & PASLANMAZ GOLD DETAYLAR,"İpek Yemek Odası Takımı; aynalı lüks konsol dolabı, teleskopik raylı açılır fonksiyonel yemek masası ve 6 adet zarafet timsali sandalyesiyle tam bir salon takımıdır.",assets/minegolden_p10_1.webp
40,İpek Aynalı Konsol & Büfe,dining,buffets,21000,24000,Solo,İpek Lüks Yemek Odası Takımı,MDF LAKE & PASLANMAZ GOLD DETAYLAR,"İpek serisine ait aynalı geniş konsol ve büfe ünitesi (G: 205 cm, D: 48 cm, Y: 82 cm).",assets/minegolden_p10_3.webp
41,İpek Açılır Fonksiyonel Masa,dining,dining-tables,19500,22500,Solo,İpek Lüks Yemek Odası Takımı,MDF LAKE & PASLANMAZ GOLD DETAYLAR,"İpek serisi açılır mekanizmalı yemek masası (G: 175-215 cm, D: 90 cm, Y: 78 cm).",assets/minegolden_p10_2.webp
42,İpek Lüks Sandalye (6 Adet),dining,chairs,14400,16500,Solo,İpek Lüks Yemek Odası Takımı,MDF LAKE & PASLANMAZ GOLD DETAYLAR,İpek serisine ait 6 adet kadife lüks sandalye seti.,assets/minegolden_p10_4.webp
43,Marian Modern Ahşap Yemek Odası,dining,dining-tables,51000,58000,Set,,DOĞAL CEVİZ KAPLAMA & CNC İŞLEMELİ KAPAKLAR,"Marian Yemek Odası Takımı; ceviz ahşap konsolu, 180 cm sabit yemek masası ve 6 adet konforlu sandalyesiyle modern İnegöl işçiliğini evinize taşır.",assets/minegolden_p18_1.webp
44,Marian Ahşap Konsol,dining,buffets,19500,22000,Solo,Marian Modern Ahşap Yemek Odası,DOĞAL CEVİZ KAPLAMA & CNC İŞLEMELİ KAPAKLAR,"Marian serisi geniş ceviz konsol dolabı (G: 200 cm, D: 46 cm, Y: 80 cm).",assets/minegolden_p18_3.webp
45,Marian Sabit Yemek Masası,dining,dining-tables,18000,21000,Solo,Marian Modern Ahşap Yemek Odası,DOĞAL CEVİZ KAPLAMA & CNC İŞLEMELİ KAPAKLAR,Marian serisi 180 cm yemek masası.,assets/minegolden_p18_2.webp
46,Marian Sandalye (6 Adet),dining,chairs,13500,15000,Solo,Marian Modern Ahşap Yemek Odası,DOĞAL CEVİZ KAPLAMA & CNC İŞLEMELİ KAPAKLAR,Marian serisi 6 adet ahşap ayaklı sandalye.,assets/minegolden_p18_4.webp
47,Lisa Avangarde Yemek Odası Takımı,dining,dining-tables,56500,64000,Set,,LAKE BOYALI MDF & GOLD ÖZEL KULPLAR,"Lisa Yemek Odası Takımı; gold kulplu konsol modülü, geniş tasarım masası ve 6 adet zarafet dolu sandalyesiyle lüks ev dekorasyonuna hitap eder.",assets/minegolden_p17_1.webp
48,Lisa Lüks Konsol & Büfe,dining,buffets,22000,25000,Solo,Lisa Avangarde Yemek Odası Takımı,LAKE BOYALI MDF & GOLD ÖZEL KULPLAR,"Lisa serisi gold detaylı lake konsol (G: 210 cm, D: 50 cm, Y: 84 cm).",assets/minegolden_p17_3.webp
49,Lisa Tasarım Yemek Masası,dining,dining-tables,20000,23000,Solo,Lisa Avangarde Yemek Odası Takımı,LAKE BOYALI MDF & GOLD ÖZEL KULPLAR,Lisa serisi 190 cm yemek masası.,assets/minegolden_p17_2.webp
50,Lisa Lüks Sandalye (6 Adet),dining,chairs,14500,16000,Solo,Lisa Avangarde Yemek Odası Takımı,LAKE BOYALI MDF & GOLD ÖZEL KULPLAR,Lisa serisi 6 adet avangarde sandalye takımı.,assets/minegolden_p17_4.webp
51,Zen Modern Yatak Odası Takımı,bedroom,beds,59900,68000,Set,,1. SINIF MDF GÖVDE & LED AYDINLATMALI İÇ DÜZEN,"Zen Yatak Odası Takımı; 6 kapaklı LED aydınlatmalı gardırobu, kumaş başlıklı karyolası, aynalı şifonyeri ve 2 adet komodiniyle tam ve eksiksiz bir yatak odası konseptidir.",assets/minegolden_p11_1.webp
52,Zen 6 Kapaklı Gardırop,bedroom,wardrobes,29500,34000,Solo,Zen Modern Yatak Odası Takımı,1. SINIF MDF GÖVDE & LED AYDINLATMALI İÇ DÜZEN,"Zen serisine ait 6 kapaklı LED sensör aydınlatmalı lüks gardırop (G: 260 cm, D: 60 cm, Y: 218 cm).",assets/minegolden_p11_2.webp
53,Zen Karyola & Yatak Başlığı,bedroom,beds,16500,19000,Solo,Zen Modern Yatak Odası Takımı,1. SINIF MDF GÖVDE & LED AYDINLATMALI İÇ DÜZEN,Zen serisi kumaş döşemeli yatak başlıklı karyola ünitesi (160x200 cm uyumlu).,assets/minegolden_p11_3.webp
54,Zen Aynalı Şifonyer,bedroom,consoles,8500,10000,Solo,Zen Modern Yatak Odası Takımı,1. SINIF MDF GÖVDE & LED AYDINLATMALI İÇ DÜZEN,"Zen serisi geniş çekmeceli ve aynalı şifonyer modülü (G: 120 cm, D: 45 cm, Y: 85 cm).",assets/minegolden_p11_4.webp
55,Zen Komodin (2 Adet),bedroom,nightstands,5400,6500,Solo,Zen Modern Yatak Odası Takımı,1. SINIF MDF GÖVDE & LED AYDINLATMALI İÇ DÜZEN,"Zen serisi 2 adet frenli çekmeceli komodin çifti (G: 60 cm, D: 45 cm, Y: 48 cm).",assets/minegolden_p11_5.webp
56,Dora Ahşap Yatak Odası Takımı,bedroom,beds,57500,65000,Set,,DOĞAL AHŞAP DOKULU MDF & FRENLİ RAY SİSTEMLERİ,"Dora Yatak Odası Takımı; doğal ahşap sıcaklığı, aynalı dolap kapakları ve fonksiyonel çekmece düzeniyle yatak odanıza huzur katar.",assets/minegolden_p12_1.webp
57,Dora 6 Kapaklı Ahşap Gardırop,bedroom,wardrobes,28000,32000,Solo,Dora Ahşap Yatak Odası Takımı,DOĞAL AHŞAP DOKULU MDF & FRENLİ RAY SİSTEMLERİ,"Dora serisi aynalı ve ahşap dokulu 6 kapaklı gardırop (G: 250 cm, D: 62 cm, Y: 215 cm).",assets/minegolden_p12_2.webp
58,Dora Karyola (Başlıklı),bedroom,beds,16000,18500,Solo,Dora Ahşap Yatak Odası Takımı,DOĞAL AHŞAP DOKULU MDF & FRENLİ RAY SİSTEMLERİ,Dora serisi ahşap detaylı karyola ve başlık ünitesi.,assets/minegolden_p12_3.webp
59,Dora Şifonyer & Ayna,bedroom,consoles,8200,9500,Solo,Dora Ahşap Yatak Odası Takımı,DOĞAL AHŞAP DOKULU MDF & FRENLİ RAY SİSTEMLERİ,"Dora serisi aynalı şifonyer dolabı (G: 115 cm, D: 46 cm, Y: 82 cm).",assets/minegolden_p12_4.webp
60,Dora Komodin (2 Adet),bedroom,nightstands,5300,6200,Solo,Dora Ahşap Yatak Odası Takımı,DOĞAL AHŞAP DOKULU MDF & FRENLİ RAY SİSTEMLERİ,"Dora serisi 2 adet ahşap komodin (G: 55 cm, D: 42 cm, Y: 45 cm).",assets/minegolden_p12_5.webp
61,Elegance Lüks Cam Kapaklı Yatak Odası,bedroom,beds,66000,74000,Set,,FÜME TEMPERLİ CAM & ALÜMİNYUM PROFİL & CNC İŞLEMELİ MDF,"Elegance Yatak Odası Takımı; füme temperli cam kapaklı lüks gardırobu, entegre aydınlatması ve özel kumaş başlığıyla üst düzey prestij sunar.",assets/minegolden_p13_1.webp
62,Elegance Füme Cam Kapaklı Gardırop,bedroom,wardrobes,33000,38000,Solo,Elegance Lüks Cam Kapaklı Yatak Odası,FÜME TEMPERLİ CAM & ALÜMİNYUM PROFİL & CNC İŞLEMELİ MDF,"Elegance serisi alüminyum çerçeveli füme cam kapaklı ve LED aydınlatmalı gardırop (G: 260 cm, D: 65 cm, Y: 220 cm).",assets/minegolden_p13_2.webp
63,Elegance Karyola & Lüks Başlık,bedroom,beds,18500,21000,Solo,Elegance Lüks Cam Kapaklı Yatak Odası,FÜME TEMPERLİ CAM & ALÜMİNYUM PROFİL & CNC İŞLEMELİ MDF,Elegance serisi kadife kumaş döşemeli lüks karyola ünitesi.,assets/minegolden_p13_3.webp
64,Elegance Şifonyer & Makyaj Aynası,bedroom,consoles,9000,10500,Solo,Elegance Lüks Cam Kapaklı Yatak Odası,FÜME TEMPERLİ CAM & ALÜMİNYUM PROFİL & CNC İŞLEMELİ MDF,Elegance serisi çekmeceli şifonyer ve modern makyaj aynası.,assets/minegolden_p13_4.webp
65,Elegance Komodin (2 Adet),bedroom,nightstands,5500,6500,Solo,Elegance Lüks Cam Kapaklı Yatak Odası,FÜME TEMPERLİ CAM & ALÜMİNYUM PROFİL & CNC İŞLEMELİ MDF,Elegance serisi 2 adet lüks komodin.,assets/minegolden_p13_5.webp
66,Luna Akrilik Modern Yatak Odası Takımı,bedroom,beds,56900,64000,Set,,PARLAK AKRİLİK BEYAZ LAKE & MASİF CEVİZ DETAYLAR,"Luna Yatak Odası Takımı; parlak akrilik beyaz yüzeyleri, ahşap sıcaklığı ve ferah tasarımıyla aydınlık ve modern bir yatak odası atmosferi sunar.",assets/minegolden_p14_1.webp
67,Luna 6 Kapaklı Beyaz Gardırop,bedroom,wardrobes,27500,31500,Solo,Luna Akrilik Modern Yatak Odası Takımı,PARLAK AKRİLİK BEYAZ LAKE & MASİF CEVİZ DETAYLAR,"Luna serisi akrilik beyaz 6 kapaklı gardırop (G: 255 cm, D: 60 cm, Y: 216 cm).",assets/minegolden_p14_2.webp
68,Luna Karyola (Başlıklı),bedroom,beds,15500,18000,Solo,Luna Akrilik Modern Yatak Odası Takımı,PARLAK AKRİLİK BEYAZ LAKE & MASİF CEVİZ DETAYLAR,Luna serisi modern karyola ve başlık.,assets/minegolden_p14_3.webp
69,Luna Şifonyer,bedroom,consoles,8400,9800,Solo,Luna Akrilik Modern Yatak Odası Takımı,PARLAK AKRİLİK BEYAZ LAKE & MASİF CEVİZ DETAYLAR,Luna serisi beyaz şifonyer dolabı.,assets/minegolden_p14_4.webp
70,Luna Komodin (2 Adet),bedroom,nightstands,5500,6500,Solo,Luna Akrilik Modern Yatak Odası Takımı,PARLAK AKRİLİK BEYAZ LAKE & MASİF CEVİZ DETAYLAR,Luna serisi 2 adet komodin.,assets/minegolden_p14_5.webp
71,Masal Krem & Gold Yatak Odası Takımı,bedroom,beds,63500,71000,Set,,SOFT KREM MAT LAKE & PASLANMAZ GOLD KULPLAR,"Masal Yatak Odası Takımı; soft krem tonları, gold metal kulp işçiliği ve geniş baza seçeneğiyle hem yüksek depolama hem de asil bir şıklık sunar.",assets/minegolden_p15_1.webp
72,Masal 6 Kapaklı Krem Gardırop,bedroom,wardrobes,31000,35500,Solo,Masal Krem & Gold Yatak Odası Takımı,SOFT KREM MAT LAKE & PASLANMAZ GOLD KULPLAR,"Masal serisi soft krem 6 kapaklı lüks gardırop (G: 260 cm, D: 62 cm, Y: 220 cm).",assets/minegolden_p15_2.webp
73,Masal Karyola & Yatak Başlığı,bedroom,beds,17500,20000,Solo,Masal Krem & Gold Yatak Odası Takımı,SOFT KREM MAT LAKE & PASLANMAZ GOLD KULPLAR,Masal serisi krem kumaş döşemeli şık karyola.,assets/minegolden_p15_3.webp
74,Masal Şifonyer & Aynası,bedroom,consoles,9200,10800,Solo,Masal Krem & Gold Yatak Odası Takımı,SOFT KREM MAT LAKE & PASLANMAZ GOLD KULPLAR,Masal serisi gold kulplu aynalı şifonyer.,assets/minegolden_p15_4.webp
75,Masal Komodin (2 Adet),bedroom,nightstands,5800,6800,Solo,Masal Krem & Gold Yatak Odası Takımı,SOFT KREM MAT LAKE & PASLANMAZ GOLD KULPLAR,Masal serisi 2 adet krem komodin.,assets/minegolden_p15_5.webp
76,Respiro Bohem Yatak Odası Takımı,bedroom,beds,55900,63000,Set,,DOĞAL MASİF AHŞAP MEŞE & 1. SINIF E1 KALİTE MDF,"Respiro Yatak Odası Takımı; masif ahşap dokusu, sade minimalist hatları ve geniş iç hacimli dolabıyla yatak odanızda ferah bir dinlenme alanı oluşturur.",assets/minegolden_p16_1.webp
77,Respiro Ahşap Gardırop,bedroom,wardrobes,27500,31000,Solo,Respiro Bohem Yatak Odası Takımı,DOĞAL MASİF AHŞAP MEŞE & 1. SINIF E1 KALİTE MDF,"Respiro serisi masif meşe dokulu gardırop (G: 245 cm, D: 60 cm, Y: 212 cm).",assets/minegolden_p16_2.webp
78,Respiro Masif Ahşap Karyola,bedroom,beds,15500,18000,Solo,Respiro Bohem Yatak Odası Takımı,DOĞAL MASİF AHŞAP MEŞE & 1. SINIF E1 KALİTE MDF,Respiro serisi doğal ahşap karyola ve başlık.,assets/minegolden_p16_3.webp
79,Respiro Şifonyer & Ayna,bedroom,consoles,8000,9400,Solo,Respiro Bohem Yatak Odası Takımı,DOĞAL MASİF AHŞAP MEŞE & 1. SINIF E1 KALİTE MDF,Respiro serisi ahşap şifonyer.,assets/minegolden_p16_4.webp
80,Respiro Komodin (2 Adet),bedroom,nightstands,4900,5800,Solo,Respiro Bohem Yatak Odası Takımı,DOĞAL MASİF AHŞAP MEŞE & 1. SINIF E1 KALİTE MDF,Respiro serisi 2 adet ahşap komodin.,assets/minegolden_p16_5.webp
81,Asya Modern Yatak Odası Takımı,bedroom,beds,58500,66000,Set,,ANTRASİT MAT LAKE & DOĞAL CEVİZ KAPLAMA,"Asya Yatak Odası Takımı; zarif antrasit ve ceviz renk kombinasyonu, 6 kapaklı geniş gardırobu ve konforlu karyolasıyla yatak odanızı baştan yaratır.",assets/minegolden_p12_1.webp
82,Asya 6 Kapaklı Gardırop,bedroom,wardrobes,28500,32500,Solo,Asya Modern Yatak Odası Takımı,ANTRASİT MAT LAKE & DOĞAL CEVİZ KAPLAMA,"Asya serisi antrasit & ceviz 6 kapaklı gardırop (G: 250 cm, D: 60 cm, Y: 215 cm).",assets/minegolden_p12_2.webp
83,Asya Karyola (Başlıklı),bedroom,beds,16000,18500,Solo,Asya Modern Yatak Odası Takımı,ANTRASİT MAT LAKE & DOĞAL CEVİZ KAPLAMA,Asya serisi kumaş döşemeli şık karyola.,assets/minegolden_p12_3.webp
84,Asya Şifonyer & Aynası,bedroom,consoles,8600,10000,Solo,Asya Modern Yatak Odası Takımı,ANTRASİT MAT LAKE & DOĞAL CEVİZ KAPLAMA,Asya serisi aynalı şifonyer.,assets/minegolden_p12_4.webp
85,Asya Komodin (2 Adet),bedroom,nightstands,5400,6400,Solo,Asya Modern Yatak Odası Takımı,ANTRASİT MAT LAKE & DOĞAL CEVİZ KAPLAMA,Asya serisi 2 adet komodin.,assets/minegolden_p12_5.webp
